"Etablissement";"Siren";"Site";"Site non-trouve";"Categories";"Categorie-2";"Categorie-3";"Categorie-4";"Categorie-5";"Categorie-6";"Categorie-7";"Categorie-8";"Entreprise-de-servicesde-logistique";"Aucune-categorie"
"ROCHE EMBALLAGES PLASTIQUES";337772305;"http://www.rep-snel.com/";;3923;3921;3920;3919;;;;;;
"ETABLISSEMENTS ROCHEBILLARD ET BLEIN";405880758;"https://www.rocheblin.com/";;1601;;;;;;;;;
"CHERRY ROCHER NEYRET CHAVIN";304350333;"https://www.cherry-rocher.fr/fr/";;2208;;;;;;;;;
"CHERRY ROCHER NEYRET CHAVIN";304350333;"https://www.cherry-rocher.fr/";;2208;2207;2206;;;;;;;
"RODET";442421665;"http://www.rodet.net/fr/";;9403;;;;;;;;;
"ROGER MARTIN AUVERGNE RHONE ALPES";323800482;"https://www.rogermartin.fr/";;;;;;;;;;1;
"ROLAND MONTERRAT";329010201;"https://www.monterrat-traiteur.fr/fr/";;;;;;;;;;1;
"GAILLARD RONDINO";391983285;"https://www.rondino.fr/";;;;;;;;;;1;
"RONSARD BRESSE";503673931;;1;;;;;;;;;;
"ETS A. ROSE";955500152;"https://www.texen.com/";;3923;;;;;;;;;
"ETABLISSEMENTS J ROSTAING";759200405;"https://www.rostaing.com/";;4203;;;;;;;;;
"ATELIERS MECANIQUES DE BEAULIEU - ETS ROUSSET";390074276;"https://www.amb-rousset.com/";;8433;8436;8432;;;;;;;
"ROUX CABRERO ENTREPRISE GENERALE DE BATIMENT";336520226;"https://rouxcabrero.fayat.com/";;;;;;;;;;1;
"ROVIP";301296588;"http://www.rovip.com/fr/";;3923;;;;;;;;;
"BERNARD ROYAL DAUPHINE";310046610;"https://www.royal-bernard.fr/";;207;;;;;;;;;
"BERNARD ROYAL DAUPHINE";310046610;"https://www.royal-bernard.fr/";;207;;;;;;;;;
"DELIFRANCE S A";313167173;"https://www.delifrance.com/fr/";;1905;;;;;;;;;
"CALOR S A";956512495;"https://www.calor.fr/";;;;;;;;;;;1
"M CHAPOUTIER S A";435580477;"https://www.chapoutier.com/fr/";;2204;;;;;;;;;
"CALOR S A";956512495;"https://www.calor.fr/";;8516;;;;;;;;;
"S P I";333985224;"https://www.spigroup.fr/";;;;;;;;;;1;
"ENTREPRISE PLANCHE S A";977120450;"https://raydiall.com/";;5501;8311;;;;;;;;
"S.A.B. BELMONT";316559582;"https://groupe-sab.fr/";;7616;;;;;;;;;
"RETAL FRANCE S.A.R.L.";409847423;"https://www.retalgroup.com/";;3923;;;;;;;;;
"BALL AEROSOL PACKAGING FRANCE S.A.S";399240001;"https://www.ball.com/";;8309;;;;;;;;;
"ADISSEO FRANCE S.A.S.";439436569;"https://www.adisseo.com/";;2309;;;;;;;;;
"BECKER INDUSTRIE S.A.S.";381035815;"https://www.beckers-group.com/";;3208;3209;3214;;;;;;;
"ADISSEO FRANCE S.A.S.";439436569;"https://www.adisseo.com/";;2309;;;;;;;;;
"ADISSEO FRANCE S.A.S.";439436569;"https://www.adisseo.com/";;;;;;;;;;1;
"S.D.E.R";73501033;"http://www.sder.fr/";;;;;;;;;;1;
"AKWEL SA";344844998;;1;;;;;;;;;;
"DEVERNOIS SA";405880485;"https://www.devernois.com/";;6204;;;;;;;;;
"REVOL PORCELAINE SA";435782172;"https://www.revol1768.com/fr/";;6911;;;;;;;;;
"SA J CARREL";326479300;;1;;;;;;;;;;
"BIOMERIEUX SA";673620399;"https://www.biomerieux.fr/";;3006;;;;;;;;;
"BORDE SA";788267292;"https://borde.fr/";;2003;;;;;;;;;
"SA GEL'PAM";388422263;;1;;;;;;;;;;
"POMPES GRUNDFOS DISTRIBUTION SA";344871496;"https://www.grundfos.com/fr";;8413;;;;;;;;;
"DECOMATIC SA";693621054;"https://www.decomatic-sa.fr/";;4821;;;;;;;;;
"RKW CASTELLETTA SA";353765381;"https://rkw-group.com/";;3923;;;;;;;;;
"AKWEL SA";344844998;"https://akwel-automotive.com/";;;;;;;;;;1;
"PSA AUTOMOBILES SA";542065479;"https://site.groupe-psa.com/poissy/fr/";;8702;;;;;;;;;
"CHACOK DEVELOPPEMENT SA";378232979;"https://www.chacok.com/fr/";;6104;;;;;;;;;
"BRESSOR SA";383228764;"http://www.bressor.fr/";;406;;;;;;;;;
"PROMENS SA";759200454;"https://www.rpc-promens.com/";;3923;;;;;;;;;
"GALLIEN BOIS IMPREGNES SA";349418541;;1;;;;;;;;;;
"SA PAPETERIES D'ESPALY";585950298;"https://www.internationalpaper.com/";;4808;;;;;;;;;
"BUDILLON RABATEL SA";400622601;"https://www.materiaux.eiffageroute.com/";;2517;;;;;;;;;
"BONTOUT SA";326313434;"http://www.groupe-bontout.fr/";;709;711;;;;;;;;
"ROULEAUX PACK SA";377806062;"https://www.rouleaux-pack.fr/";;;;;;;;;;1;
"PROMENS SA";759200454;"https://www.rpc-promens.com/";;3923;;;;;;;;;
"BIOMERIEUX SA";673620399;"https://www.biomerieux.fr/";;3006;;;;;;;;;
"CONDAT SA";713680734;"https://www.condat-lubricants.com/";;3403;;;;;;;;;
"SA EAUX MINERALES EVIAN";797080850;"https://www.evian.com/fr/";;2201;;;;;;;;;
"BIOMERIEUX SA";673620399;"https://www.biomerieux.fr/";;3006;;;;;;;;;
"BRESSOR SA";383228764;"http://www.bressor.fr/";;406;;;;;;;;;
"GALLIEN BOIS IMPREGNES SA";349418541;;1;;;;;;;;;;
"SA MAATEL";306606583;"https://maatel.com/";;;;;;;;;;1;
"R.S.A. LE RUBIS SA";572091080;"https://alumine-rsa.com/";;7601;7607;7606;;;;;;;
"PIALLEPORT SA";332234905;"https://www.camox.fr/";;8432;8701;;;;;;;;
"AKWEL SA";344844998;"https://akwel-automotive.com/";;9032;8419;;;;;;;;
"FONDERIE ET PLASTURGIE SA";389425653;"https://www.fpsa.com/";;3926;;;;;;;;;
"BOSTIK SA";332110097;"https://www.bostik.com/france/fr/";;3506;;;;;;;;;
"S.N.F. SA";430006643;"https://www.snf.com/";;;;;;;;;;1;
"SA FROMAGERIE ALPINE";60502069;;1;;;;;;;;;;
"EFD INDUCTION SA";329790018;"https://www.efd-induction.com/";;8514;;;;;;;;;
"SA OUTILLAGE NOURRISSON CLAUDE";885750562;"https://www.riss-france.com/fr/";;7318;;;;;;;;;
"CAN SA";327878393;"https://www.can.fr/";;;;;;;;;;1;
"CHRIS-FRANCE PLASTIQUES SA";775545478;"https://www.chrisfrance.fr/";;3926;;;;;;;;;
"HAYWARD POOL EUROPE SA";421317371;"https://www.hayward.fr/";;8413;8539;8536;8537;;;;;;
"SA DESPIERRES";309444941;"https://www.despierres.com/";;201;;;;;;;;;
"GROUPE SAB - FINANCIERE D'AZOLETTE";305148884;"https://groupe-sab.fr/";;;;;;;;;;1;
"BONNA SABLA";562087346;"https://www.bonnasabla.com/";;6810;;;;;;;;;
"SADILLEK SA";552114092;"https://www.lingots-aluminium.fr/index.php/fr/";;7616;;;;;;;;;
"SAEM";801339524;"https://www.saem-electricite.com/";;;;;;;;;;1;
"SAERTEX FRANCE";441455144;"https://www.saertex.com/fr/contact/le-groupe-saertex";;;;;;;;;;1;
"SAFEGE";542021829;"https://www.guide-eau.com/safege-ent2302";;;;;;;;;;1;
"SAFI";632980157;"https://www.safi-valves.com/fr";;8481;;;;;;;;;
"SAFRAN ELECTRICAL & POWER";301501391;"https://www.safran-group.com/fr/societes/safran-electrical-power";;;;;;;;;;1;
"SAFRAN AEROTECHNICS";639804384;"https://www.safran-group.com/fr";;9401;8463;;;;;;;;
"SAFRAN ELECTRONICS & DEFENSE";480107911;"https://www.safran-group.com/fr";;9031;8463;;;;;;;;
"SAG FRANCE";351697586;7616;;7325;;;;;;;;;
"SAGRA";564504090;"https://www.bigmat.fr/";;4418;4421;7314;;;;;;;
"SAICA PACK EL";413464595;"https://www.saica.com/fr/";;4819;4811;4808;;;;;;;
"SAINT JEAN";311821268;"https://www.saint-jean.fr/contact";;1901;;;;;;;;;
"SAINT JEAN";311821268;"https://www.saint-jean.fr/";;1902;;;;;;;;;
"NATRA SAINT ETIENNE";327373478;"https://natra.com/";;1806;1704;;;;;;;;
"BOURBON AUTOMOTIVE PLASTICS SAINT MARCELLIN - BOURBON AP SAINT MARCELLIN";310623269;"https://groupe-plastivaloire.com/";;8708;9401;8512;;;;;;;
"SAINT JEAN";311821268;"https://www.saint-jean.fr/";;1902;;;;;;;;;
"BISCUITS SAINT GEORGES";72201114;"http://www.biscuits-bouvard.com/";;1905;;;;;;;;;
"SAINT JEAN";311821268;"https://www.saint-jean.fr/les-plats-cuisines";;;;;;;;;;1;
"ALTRAD SAINT DENIS";338053739;"https://www.altrad-saint-denis.fr/";;8474;7325;;;;;;;;
"CPC SAINT ETIENNE";329286645;"http://www.cpcpackaging.com/fr.html";;3923;4819;4821;4820;;;;;;
"EOLANE SAINT-AGREVE";384979555;"https://www.eolane.com/";;8523;;;;;;;;;
"LINAMAR SAINT-CHAMOND";799217393;"https://www.linamar.com/";;8483;;;;;;;;;
"MERITOR INDUSTRIAL PRODUCTS SAINT-ETIENNE";335339446;"https://www.meritor.com/";;8607;8708;;;;;;;;
"SAINT-ETIENNE AUTOMOTIVE COMPONENTS";439218603;"https://seac-sas.fr/";;8512;8708;8702;;;;;;;
"SAINT-GOBAIN CRISTAUX ET DETECTEURS";316263029;;1;;;;;;;;;;
"SALAISONS DEBROAS";309422632;"https://groupedebroas.fr/";;1601;1602;;;;;;;;
"SALAISONS DU LIGNON";586250417;"https://www.salaisonsdulignon.fr/";;1601;1602;;;;;;;;
"SAM OUTILLAGE";338002231;"https://www.sam-outillage.fr/";;8205;8207;;;;;;;;
"SAMES KREMLIN";572051688;"https://www.sames-kremlin.com/france/fr/";;8424;8515;;;;;;;;
"ETABLISSEMENTS SAMUEL ROCHE";775601735;"http://www.samuelroche.com/";;7312;;;;;;;;;
"SANICAR";410322259;"https://www.gruau.com/";;8707;;;;;;;;;
"ALLIBERT SANITAIRE";379377427;"http://www.allibert.fr/";;3922;;;;;;;;;
"LABORATOIRE SANOFLORE";338375876;"https://www.sanoflore.fr/";;3304;;;;;;;;;
"SANTERNE CENTRE EST ENERGIES";509243226;;1;;;;;;;;;;
"SANTEX";552066904;"http://www.santex.fr/";;3924;6911;;;;;;;;
"ARBAN SARL";311901318;"https://www.grosfillex.com/";;3925;7610;;;;;;;;
"KLA-TENCOR FRANCE SARL";332126309;"https://www.kla.com/";;9031;8420;;;;;;;;
"ERICO FRANCE SARL";887251437;"https://www.nvent.com/efs-new-website";;5501;8311;;;;;;;;
"SARL FRUITIERE DE DOMESSIN";334805231;;1;;;;;;;;;;
"PROMENS SARL";478064751;"https://www.rpc-promens.com/";;3923;;;;;;;;;
"SARL MEWA";313455545;"https://www.mewa.fr/";;6114;;;;;;;;;
"SARP INDUSTRIES RHONE ALPES";485239792;"https://www.sarpi.veolia.com/fr";;;;;;;;;;1;
"GROSFILLEX SAS";759201106;"https://www.grosfillex.com/";;3925;7610;;;;;;;;
"O-I FRANCE SAS";339030702;;1;;;;;;;;;;
"SAS EUR'OHM";447884453;;1;;;;;;;;;;
"NIGAY SAS";885550418;"https://www.nigay.com/";;1704;;;;;;;;;
"MARGARON SAS";413107442;"https://margaron.fr/";;;;;;;;;;1;
"DEVEILLE SAS";304992662;;1;;;;;;;;;;
"NICOLLIN SAS";775644149;"http://www.groupenicollin.com/";;;;;;;;;;1;
"ROLLS-ROYCE CIVIL NUCLEAR SAS";433681525;"https://www.framatome.com/";;84026;;;;;;;;;
"AMCOR FLEXIBLES PACKAGING FRANCE SAS";509628798;"https://www.amcor.com/";;3923;;;;;;;;;
"C.C.M. SAS";339618175;"https://www.texen.com/";;3923;;;;;;;;;
"RIBEYRON SAS";479437394;"https://www.ribeyron.com/";;3923;;;;;;;;;
"BILLION SAS";350293049;"https://www.billion.fr/";;8512;8702;8716;;;;;;;
"MERSEN FRANCE LA MURE SAS";418120531;;1;;;;;;;;;;
"CIMC AIR MARREL SAS";799046651;"https://www.airmarrel.com/products/";;8427;8428;8425;8426;;;;;;
"IPACKCHEM SAS";382150944;"https://www.ipackchem.com/fr/";;3923;;;;;;;;;
"LMT BELIN FRANCE SAS";767200587;"http://www.lmt-tools.com/fr/";;8205;8207;;;;;;;;
"PANCOSMA FRANCE SAS";763200821;"https://www.pancosma.com/fr/";;2309;;;;;;;;;
"FORGITAL FMDL SAS";584504419;"https://www.fmdl.fr/";;7208;6813;;;;;;;;
"MOB MONDELIN SAS";554503763;"https://www.mob-mondelin.fr/";;8205;8207;;;;;;;;
"CATERPILLAR FRANCE SAS";61500245;"https://www.caterpillar.com/fr.html";;8479;8430;8427;;;;;;;
"EURECAT FRANCE SAS";449065267;"https://eurecat.com/";;;;;;;;;;1;
"MOB MONDELIN SAS";554503763;"https://www.mob-mondelin.fr/";;8205;8207;;;;;;;;
"CHEMVIRON FRANCE SAS";821453313;"https://www.chemviron.eu/fr/";;2530;;;;;;;;;
"DIEHL POWER ELECTRONIC SAS";489804930;"https://www.diehl.com/group/en/";;7306;7608;;;;;;;;
"MITSUBISHI CHEMICAL ADVANCED MATERIALS SAS";435005145;"https://www.mcam.com/fr/";;3919;3920;;;;;;;;
"FEDERAL-MOGUL IGNITION PRODUCTS SAS";449400076;"https://www.tenneco.com/";;8512;8707;8708;;;;;;;
"O-I FRANCE SAS";339030702;;1;;;;;;;;;;
"REXOR SAS";542020854;"https://www.rexor.com/";;3920;;;;;;;;;
"ROSET SAS";545920076;;1;;;;;;;;;;
"MAVIC SAS";515155844;"https://www.mavic.com/";;871200;8713;8714;;;;;;;
"CHEMVIRON FRANCE SAS";821453313;"https://www.chemviron.eu/fr/";;2530;;;;;;;;;
"SAS DESCOURS";384993689;"https://www.descours.fr/";;811;;;;;;;;;
"AMPLITUDE SAS";414448464;"https://amplitude-surgical.com/";;9018;9021;9022;;;;;;;
"POURTIER SAS";444456727;;1;;;;;;;;;;
"NICOLLIN SAS";775644149;"http://www.groupenicollin.com/";;;;;;;;;;1;
"AXLETECH INTERNATIONAL SAS";335339446;"https://www.axletech.com/";;8512;8708;;;;;;;;
"RECTICEL SAS";702001785;"https://www.recticel.com/";;3919;3921;;;;;;;;
"PAROT SAS - EAU MINERALE NATURELLE";353448723;"https://www.parot.fr/";;2201;2202;;;;;;;;
"CTL PACKAGING SAS";342850682;"https://www.ctl-pack.com/fr/";;3923;;;;;;;;;
"INDRA SAS";400641296;"https://www.indra.fr/fr/activites-france";;;;;;;;;;1;
"PEME GOURDIN SAS";358200749;"https://www.peme-gourdin.com/";;8414;8413;8421;;;;;;;
"AMMERAAL BELTECH SAS";301099537;"https://www.ammeraalbeltech.com/fr-FR/";;;;;;;;;;1;
"MYLAN LABORATORIES SAS";443748157;"https://www.viatris.com/en";;3006;3004;3003;;;;;;;
"COVESTRO ELASTOMERS SAS";442547402;"https://www.elastomers.covestro.com/";;3812;;;;;;;;;
"COURBON SAS";584501563;"https://www.courbon-software.com/";;;;;;;;;;;1
"RHENUS CONTRACT LOGISTICS CHALON SAS";803436864;"https://www.rhenus.group/de";;;;;;;;;;1;
"RAYDIALL SAS";537387193;"https://raydiall.com/";;5501;;;;;;;;;
"COTE SAS";703680348;"https://www.cote.fr/";;;;;;;;;;1;
"CERDIA FRANCE SAS";808802359;"https://www.cerdia.com/";;3926;3923;;;;;;;;
"SATAB";586850281;"https://www.satab.com/";;5806;6303;;;;;;;;
"SATMA PPC";503053241;"https://www.satmappc.com/fr";;7607;;;;;;;;;
"SAVOIE LOIRE DECOLLETAGE MECANIQUE";389998857;"https://www.rgm.fr/";;;;;;;;;;1;
"PERRENOT SAVOIE";498893296;"https://www.perrenot.eu/";;;;;;;;;;1;
"SAVOIR-FAIRE BELLEGARDIEN";534522446;;1;;;;;;;;;;
"SAVOYE";334170990;"https://www.savoye.com/";;;;;;;;;;1;
"HENRI SAVY";385520267;"http://www.savy.fr/";;9603;;;;;;;;;
"GROUPE SCAPA FRANCE";389783960;"https://www.scapa.com/?aspxerrorpath=/en/";;4016;;;;;;;;;
"RECYCLAGES DECHETS SCE - GPE RDS";380040402;"http://www.groupe-rds.fr/";;;;;;;;;;1;
"SCHNEIDER ELECTRIC FRANCE";421106709;"https://www.se.com/fr/fr/";;8537;8536;;;;;;;;
"SCHNEIDER ELECTRIC FRANCE";421106709;"https://www.se.com/fr/fr/";;8537;8536;;;;;;;;
"SCHNEIDER ELECTRIC FRANCE";421106709;"https://www.se.com/fr/fr/";;8537;8536;;;;;;;;
"SCHNEIDER ELECTRIC IT FRANCE";444643720;"https://www.se.com/";;;;;;;;;;1;
"SCHNEIDER ELECTRIC INDUSTRIES SAS";954503439;"https://www.se.com/fr/fr/";;8504;;;;;;;;;
"SCHOELLER ALLIBERT HOLDING FRANCE";499990398;"https://www.schoellerallibert.com/";;3923;8309;3923;;;;;;;
"SCIERIE MOULIN";330824442;"https://www.moulin-sa.com/";;4408;4409;4412;;;;;;;
"ENTREPRISE SDE";494268469;"https://www.groupeeos.com/sde/";;;;;;;;;;1;
"SDEL DAUPHINE SAVOIE";418767646;"https://www.actemium.com/";;;;;;;;;;1;
"SDEL CABLES ET AUTOROUTES";443974746;"https://www.omexom.com/";;;;;;;;;;1;
"SDEL ELEXA";421222571;"https://www.omexom.com/";;;;;;;;;;1;
"SDMS";62502257;"https://www.sdms.fr/";;8468;;;;;;;;;
"KTK FRANCE SEATS";433925229;;1;;;;;;;;;;
"SECOMAT INGENIERIE INDUSTRIELLE";315590497;"https://www.mecaprocentre.fr/";;;;;;;;;;1;
"HAGER SECURITY";332989953;"https://hager.com/fr/catalogue/securite";;;;;;;;;;1;
"SEDIVER";542035761;"https://www.sediver.com/fr/";;8546;;;;;;;;;
"SEGUY NUTRITION ANIMALE";407898352;"http://www.groupe-dauphinoise.com/";;;;;;;;;;1;
"FROMAGERIE SEIGNEMARTIN";772200036;"http://www.comte-seignemartin.fr/index.php";;406;;;;;;;;;
"FROMAGERIE SEIGNEMARTIN";772200036;"http://www.comte-seignemartin.fr/index.php";;406;;;;;;;;;
"LE PRESENTOIR SEILLER";546920083;"https://www.presentoir-seiller.com/";;4418;4419;;;;;;;;
"SELUX SAS";342235470;"https://www.selux.com/int/fr/home";;9405;;;;;;;;;
"SENSUS FRANCE SAS";329151054;"https://sensus.com/emea/fr/";;8419;;;;;;;;;
"SEPAL";389553769;;1;;;;;;;;;;
"SERAM";339565871;"https://www.seram.com/";;6107;6212;;;;;;;;
"SERCA";325079457;;1;;;;;;;;;1;
"SERGE FERRARI SAS";300821873;"https://www.sergeferrari.com/";;7314;;;;;;;;;
"SERMA POIDS LOURDS";449675917;"https://www.serma-pl.fr/";;8705;;;;;;;;;
"SERMA POIDS LOURDS";449675917;"https://www.serma-pl.fr/";;8702;8703;8704;;;;;;;
"SEROBA";770200012;"http://www.seroba.fr/";;8432;8433;8908;;;;;;;
"SERPOLLET SAVOIE MONT-BLANC";315062125;"https://www.serfim.com/";;8532;;;;;;;;;
"SERPOLLET DAUPHINE";531481562;"https://www.serfim.com/";;;;;;;;;;1;
"SERV'ELITE";394987408;"https://www.servelite.fr/";;8403;;;;;;;;;
"PRECIA MOLEN SERVICE";349743179;"https://fr.preciamolen.com/";;;;;;;;;;1;
"PRECIA MOLEN SERVICE";349743179;"https://fr.preciamolen.com/";;8423;;;;;;;;;
"PRECIA MOLEN SERVICE";349743179;"https://fr.preciamolen.com/";;8423;;;;;;;;;
"PRECIA MOLEN SERVICE";349743179;"https://fr.preciamolen.com/";;;;;;;;;;1;
"PRECIA MOLEN SERVICE";349743179;"https://fr.preciamolen.com/";;8423;;;;;;;;;
"CONCEPTION MOULAGE SERVICE DE L'INDUSTRI";756200358;"https://www.texen.com/";;3923;;;;;;;;;
"SARL COMI SERVICE";390546208;"https://www.comi-service.com/";;;;;;;;;;1;
"PREPARATION SERVICE ET LOGISTIQUE";424327773;"https://www.pslquerlioz.com/";;;;;;;;;;1;
"SD SERVICES";339796617;"https://www.sdservices.fr/";;8707;8716;;;;;;;;
"GE ENERGY SERVICES FRANCE";303447338;"https://www.ge.com/";;;;;;;;;;1;
"PLASTIC OMNIUM AUTO EXTERIEUR SERVICES";501737472;"https://www.plasticomnium.com/fr/";;;;;;;;;;1;
"ASSYSTEM ENGINEERING AND OPERATION SERVICES";444159164;"https://www.assystem.com/fr/";;;;;;;;;;1;
"RECYCLAGES DECHETS SERVICES - GROUPE RDS";380040402;"http://www.groupe-rds.fr/";;;;;;;;;;1;
"AUTAJON SERVICES";538487885;"https://www.autajon.com/fr/";;4821;5807;;;;;;;;
"DEMANTELEMENT SERVICES & INGENIERIE NUCLEAIRE";501387179;;1;;;;;;;;;1;
"LAFARGE SERVICES GROUPE";350207387;;1;;;;;;;;;1;
"DAUPHINE SAVOIE MAINTENANCE SERVICES";537908618;;1;;;;;;;;;1;
"SETELEN";448389536;"https://www.groupe-scopelec.com/";;;;;;;;;;1;
"SETIC";342635570;"https://setic-france.fr/";;7307;;;;;;;;;
"MONNET SEVE SA";340977891;"https://www.monnet-seve.com/";;4418;4412;4411;4409;;;;;;
"GONZALES SEVMHY";491251294;"https://www.gonzales-sevmhy.fr/";;8424;;;;;;;;;
"SEYFERT FOREZ";808489694;;1;;;;;;;;;;
"SFS GROUP SAS";301921201;"https://fr.sfs.com/";;7318;8302;;;;;;;;
"SGL CARBON HOLDING SAS";509434858;;1;;;;;;;;;;
"SICABA";936350024;"https://www.lesviandesdubourbonnais.fr/filiere-adet-sicaba/societe-sicaba";;201;;;;;;;;;
"SICAREV";886250091;"https://www.sicarev.com/";;102;201;207;202;203;;;;;
"SIDAS PRODUCTION";311865307;"https://www.sidas.com/en/";;6406;6403;6115;;;;;;;
"SIGEDI";320278393;"https://www.albatros-groupe.com/";;;;;;;;;;1;
"SIGEDI";320278393;"https://www.albatros-groupe.com/albatros-travaux/sigedi/";;6906;8481;;;;;;;;
"SIGEDI";320278393;"https://www.albatros-groupe.com/";;;;;;;;;;1;
"SIGEDI";320278393;"https://www.albatros-groupe.com/albatros-travaux/sigedi/";;7307;8481;;;;;;;;
"SIGEDI";320278393;"https://www.albatros-groupe.com/albatros-travaux/sigedi/";;6906;;;;;;;;;
"SIGEDI";320278393;"https://www.albatros-groupe.com/albatros-travaux/sigedi/";;;;;;;;;;1;
"SIGEDI";320278393;"https://www.albatros-groupe.com/albatros-travaux/sigedi/";;;;;;;;;;1;
"SIGMA COMPOSITE";613620087;"https://sigmacabins.com/";;8428;;;;;;;;;
"SIGNIFY FRANCE";402805527;"https://www.signify.com/fr-fr";;9405;;;;;;;;;
"SIGVARIS";384137857;"https://www.sigvaris.com/";;6115;;;;;;;;;
"SIKA FRANCE";572232411;"https://fra.sika.com/";;3214;3208;;;;;;;;
"SILCOMP FRANCE SAS";481031490;"http://silcompfrance.fr/fr/";;3910;;;;;;;;;
"SILEANE";442004461;"https://www.sileane.com/";;;;;;;;;;1;
"ELKEM SILICONES FRANCE SAS";420611386;"https://www.elkem.com/";;3920;;;;;;;;;
"SILLIKER";303434591;"https://www.merieuxnutrisciences.com/";;;;;;;;;;1;
"SILLIKER";303434591;;1;;;;;;;;;1;
"SILLON RHODANIEN ENROBES";402796122;;1;;;;;;;;;;
"SERPOLLET EAU SILLON ALPIN";339155301;;1;;;;;;;;;1;
"SINTERTECH";451268353;"https://sintertech.org/";;;;;;;;;;1;
"SINTERTECH";451268353;;1;;;;;;;;;;
"SISE";389565631;"https://www.sise-plastics.com/";;;;;;;;;;1;
"SKIS ROSSIGNOL - CLUB ROSSIGNOL";56502958;6103;;9506;;;;;;;;;
"SKYEPHARMA PRODUCTION SAS";409600616;"https://www.skyepharma.com/emploi-industrie-pharma/";;3923;;;;;;;;;
"CMI SLETI";478150238;"http://www.sleti.fr/";;;;;;;;;;1;
"SMBA";501032551;"https://www.smba-sas.fr/";;;;;;;;;;1;
"SMURFIT KAPPA FRANCE";493254908;"https://www.smurfitkappa.com/fr";;4819;;;;;;;;;
"SMURFIT KAPPA FRANCE";493254908;"https://www.smurfitkappa.com/";;4805;4804;4802;;;;;;;
"AOSTE SNC OU A SNC";388818726;"https://www.groupeaoste.com/";;1602;160100;;;;;;;;
"GERFLOR PROVENCE SNC";722980224;"https://www.gerflor.com/";;3925;;;;;;;;;
"HUTCHINSON SNC";314397696;"https://www.hutchinson.com/fr";;4016;;;;;;;;;
"AOSTE SNC OU A SNC";388818726;"https://www.groupeaoste.com/";;209;210;;;;;;;;
"AOSTE SNC OU A SNC";388818726;"https://www.groupeaoste.com/";;1601;;;;;;;;;
"SNEP";886350230;"https://www.boellhoff-snep.com/";;7318;7415;;;;;;;;
"FINANCIERE SNOP-DUNOIS";381904382;"https://www.snop.eu/";;;;;;;;;;1;
"SOC FR DU RADIOTELEPHONE - SFR";343059564;"https://www.sfr.fr/";;;;;;;;;;1;
"SOC EUROPEENNE ETIQUETAGE CONDITION";773201058;"https://www.stratuspackaging.com/";;4819;4821;5807;;;;;;;
"SOC IMPRESSION ETOFFES DU GRAND LEMPS";573621224;;1;;;;;;;;;;
"SOC NOISEENNE OUTILLAGE DE PRESSE SNOP";602820011;"https://www.snop.eu/";;;;;;;;;;1;
"SOC EQUIPEMENTS BOULANGERIE PATISSERIE";478695034;;1;;;;;;;;;;
"SOC FORECREU";709805675;"https://www.forecreu.com/";;7318;7415;8203;;;;;;;
"SOC EXTRUSION DU POLYETHYLENE A.BARBIER";586050072;"https://www.barbiergroup.com/";;3920;3923;;;;;;;;
"SOC FORECREU";709805675;"https://www.forecreu.com/fr/";;8207;;;;;;;;;
"SOC EXTRUSION DU POLYETHYLENE A.BARBIER";586050072;"https://www.barbiergroup.com/produit/fragom-120-microns-2/";;3923;;;;;;;;;
"SOC NOUVELLE D'AFFINAGE DES METAUX";310199146;"https://www.snam.com/";;;;;;;;;;1;
"SOC ROMANAISE DE LA CHAUSSURE";302097993;6401;;6402;6403;6404;6405;;;;;;
"SOC INDUSTRIEL CONDITIONNEMENT OPTIMISE";697320539;"https://www.sico.net/";;7612;9616;3923;;;;;;;
"SOCAREL SA";958508988;"https://pbm.fr/";;6810;;;;;;;;;
"SETFORGE L'HORME SOCIETE NOUVELLE";511353393;;1;;;;;;;;;;
"SOCIETE METALLURGIQUE DU FOREZ";418294195;"https://www.smforez.com/";;7308;;;;;;;;;
"SOCIETE FROMAGERE DE CONDAT";348609355;;1;;;;;;;;;;
"SOCIETE FROMAGERE DE RIOM";384246286;"https://www.fromage-aop-bleu-auvergne.com/producteur/societe-fromagere-de-riom/";;406;;;;;;;;;
"SOCIETE GRENOBLOISE DE MATERIAUX ENROBES";67500140;;1;;;;;;;;;;
"SOCIETE MURPROTEC";301499042;"https://www.murprotec.fr/";;;;;;;;;;1;
"SETFORGE EXTRUSION SOCIETE NOUVELLE";511353344;"https://www.farinia.com/fr/setforge/extrusion";;8706;8708;;;;;;;;
"SETFORGE SOCIETE NOUVELLE";511082273;"https://www.farinia.com/fr/setforge/";;8457;8459;8474;7214;;;;;;
"SOCIETE LAITIERE DISCHAMP";352742282;"https://www.pauldischamp.com/";;406;;;;;;;;;
"SOCIETE GALVA-ECLAIR";314258997;"https://www.zinq.com/fr/galvanisation-a-chaud-thermolaquage/";;8543;;;;;;;;;
"SOCIETE INDUSTRIELLE RADIO ELECTRIQUE ET MECANIQUE ""SIREM""";351138169;"https://www.sirem.fr/";;8501;;;;;;;;;
"SOCIETE MEDITERRANEENNE DE NETTOIEMENT";326180544;;1;;;;;;;;;1;
"SOCIETE GRENOBLOISE DE MATERIAUX ENROBES";67500140;;1;;;;;;;;;;
"SOCIETE GESER BEST";383934742;"https://www.geser-best.com/";;;;;;;;;;1;
"SOCIETE DES FILIERES BALLOFFET";501221071;"https://balloffetdie.com/";;8456;8515;;;;;;;;
