"ligne";"Code";" Intitulés de la  NAF rév. 2, version finale ";"Intitulés NAF rév. 2, 
en 65 caractères";"Intitulés NAF rév. 2, 
en 40 caractères"
547;"23.69Z";"Fabrication d'autres ouvrages en béton, en ciment ou en plâtre";"Fabrication d'autres ouvrages en béton, en ciment ou en plâtre";"Fab. aut. ouvrage béton, ciment, plâtre"
548;;;;
549;"23.7";"Taille, façonnage et finissage de pierres ";"Taille, façonnage et finissage de pierres";"Taille, façonnage & finissage de pierres"
550;"23.70";"Taille, façonnage et finissage de pierres";"Taille, façonnage et finissage de pierres";"Taille, façonnage & finissage de pierres"
551;"23.70Z";"Taille, façonnage et finissage de pierres";"Taille, façonnage et finissage de pierres";"Taille, façonnage & finissage de pierres"
552;;;;
553;"23.9";"Fabrication de produits abrasifs et de produits minéraux non métalliques n.c.a.";"Fabric. prod. abrasifs & produits minéraux non métalliques n.c.a.";"Fab. pdt abrasif & minér. non métal nca."
554;"23.91";"Fabrication de produits abrasifs";"Fabrication de produits abrasifs";"Fabrication de produits abrasifs"
555;"23.91Z";"Fabrication de produits abrasifs";"Fabrication de produits abrasifs";"Fabrication de produits abrasifs"
556;"23.99";"Fabrication d'autres produits minéraux non métalliques n.c.a.";"Fabrication d'autres produits minéraux non métalliques n.c.a.";"Fab. aut. prod. minéraux non métal. nca."
557;"23.99Z";"Fabrication d'autres produits minéraux non métalliques n.c.a.";"Fabrication d'autres produits minéraux non métalliques n.c.a.";"Fab. aut. prod. minéraux non métal. nca."
558;;;;
559;"24";"Métallurgie";"Métallurgie";"Métallurgie"
560;;;;
561;"24.1";"Sidérurgie";"Sidérurgie";"Sidérurgie"
562;"24.10";"Sidérurgie";"Sidérurgie";"Sidérurgie"
563;"24.10Z";"Sidérurgie";"Sidérurgie";"Sidérurgie"
564;;;;
565;"24.2";"Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier ";"Fabric. tubes, tuyaux, profilés creux & accessoir. corresp. acier";"Fab. tube, profilé creux etc. en acier"
566;"24.20";"Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier ";"Fabric. tubes, tuyaux, profilés creux & accessoir. corresp. acier";"Fab. tube, profilé creux etc. en acier"
567;"24.20Z";"Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier ";"Fabric. tubes, tuyaux, profilés creux & accessoir. corresp. acier";"Fab. tube, profilé creux etc. en acier"
568;;;;
569;"24.3";"Fabrication d'autres produits de première transformation de l'acier";"Fabrication autres produits 1ere transformation de l'acier";"Fab. aut. prod. de 1ère transform. acier"
570;"24.31";"Étirage à froid de barres";"Étirage à froid de barres";"Étirage à froid de barres"
571;"24.31Z";"Étirage à froid de barres";"Étirage à froid de barres";"Étirage à froid de barres"
572;"24.32";"Laminage à froid de feuillards";"Laminage à froid de feuillards";"Laminage à froid de feuillards"
573;"24.32Z";"Laminage à froid de feuillards";"Laminage à froid de feuillards";"Laminage à froid de feuillards"
574;"24.33";"Profilage à froid par formage ou pliage";"Profilage à froid par formage ou pliage";"Profilage à froid par formage ou pliage"
575;"24.33Z";"Profilage à froid par formage ou pliage";"Profilage à froid par formage ou pliage";"Profilage à froid par formage ou pliage"
576;"24.34";"Tréfilage à froid";"Tréfilage à froid";"Tréfilage à froid"
577;"24.34Z";"Tréfilage à froid";"Tréfilage à froid";"Tréfilage à froid"
578;;;;
579;"24.4";"Production de métaux précieux et d'autres métaux non ferreux";"Production de métaux précieux et d'autres métaux non ferreux";"Prod. métaux précieux & aut. m. non fer."
580;"24.41";"Production de métaux précieux";"Production de métaux précieux";"Production de métaux précieux"
581;"24.41Z";"Production de métaux précieux";"Production de métaux précieux";"Production de métaux précieux"
582;"24.42";"Métallurgie de l'aluminium";"Métallurgie de l'aluminium";"Métallurgie de l'aluminium"
583;"24.42Z";"Métallurgie de l'aluminium";"Métallurgie de l'aluminium";"Métallurgie de l'aluminium"
584;"24.43";"Métallurgie du plomb, du zinc ou de l'étain";"Métallurgie du plomb, du zinc ou de l'étain";"Métallurgie du Pb, du Zn ou du Sn"
585;"24.43Z";"Métallurgie du plomb, du zinc ou de l'étain";"Métallurgie du plomb, du zinc ou de l'étain";"Métallurgie du Pb, du Zn ou du Sn"
586;"24.44";"Métallurgie du cuivre";"Métallurgie du cuivre";"Métallurgie du cuivre"
587;"24.44Z";"Métallurgie du cuivre";"Métallurgie du cuivre";"Métallurgie du cuivre"
588;"24.45";"Métallurgie des autres métaux non ferreux";"Métallurgie des autres métaux non ferreux";"Métallurgie autres métaux non ferreux"
589;"24.45Z";"Métallurgie des autres métaux non ferreux";"Métallurgie des autres métaux non ferreux";"Métallurgie autres métaux non ferreux"
590;"24.46";"Élaboration et transformation de matières nucléaires";"Élaboration et transformation de matières nucléaires";"Élaboration et transform. mat. nucléaire"
591;"24.46Z";"Élaboration et transformation de matières nucléaires";"Élaboration et transformation de matières nucléaires";"Élaboration et transform. mat. nucléaire"
592;;;;
593;"24.5";"Fonderie";"Fonderie";"Fonderie"
594;"24.51";"Fonderie de fonte";"Fonderie de fonte";"Fonderie de fonte"
595;"24.51Z";"Fonderie de fonte";"Fonderie de fonte";"Fonderie de fonte"
596;"24.52";"Fonderie d'acier";"Fonderie d'acier";"Fonderie d'acier"
597;"24.52Z";"Fonderie d'acier";"Fonderie d'acier";"Fonderie d'acier"
598;"24.53";"Fonderie de métaux légers";"Fonderie de métaux légers";"Fonderie de métaux légers"
599;"24.53Z";"Fonderie de métaux légers";"Fonderie de métaux légers";"Fonderie de métaux légers"
600;"24.54";"Fonderie d'autres métaux non ferreux";"Fonderie d'autres métaux non ferreux";"Fonderie d'autres métaux non ferreux"
601;"24.54Z";"Fonderie d'autres métaux non ferreux";"Fonderie d'autres métaux non ferreux";"Fonderie d'autres métaux non ferreux"
602;;;;
603;"25";"Fabrication de produits métalliques, à l’exception des machines et des équipements";"Fabric. produits métalliques, sf machines & équipements";"Fab. prod. métalliq. sf machine & équipt"
604;;;;
605;"25.1";"Fabrication d'éléments en métal pour la construction";"Fabrication d'éléments en métal pour la construction";"Fab. élément en métal pour la construct."
606;"25.11";"Fabrication de structures métalliques et de parties de structures";"Fabrication de structures métalliques et de parties de structures";"Fab. structure métal. & partie structure"
607;"25.11Z";"Fabrication de structures métalliques et de parties de structures";"Fabrication de structures métalliques et de parties de structures";"Fab. structure métal. & partie structure"
608;"25.12";"Fabrication de portes et fenêtres en métal";"Fabrication de portes et fenêtres en métal";"Fabric. de portes et fenêtres en métal"
609;"25.12Z";"Fabrication de portes et fenêtres en métal";"Fabrication de portes et fenêtres en métal";"Fabric. de portes et fenêtres en métal"
610;;;;
611;"25.2";"Fabrication de réservoirs, citernes et conteneurs métalliques";"Fabrication de réservoirs, citernes et conteneurs métalliques";"Fab. réservr, citerne & conteneur métal."
612;"25.21";"Fabrication de radiateurs et de chaudières pour le chauffage central";"Fabrication radiateurs et chaudières pour le chauffage central";"Fab. radiat. & chaudière pr chauf. ctral"
613;"25.21Z";"Fabrication de radiateurs et de chaudières pour le chauffage central";"Fabrication radiateurs et chaudières pour le chauffage central";"Fab. radiat. & chaudière pr chauf. ctral"
614;"25.29";"Fabrication d'autres réservoirs, citernes et conteneurs métalliques";"Fabrication d'autres réservoirs, citernes, conteneurs métalliques";"Fab. aut. réservr, citerne, etc. métal."
615;"25.29Z";"Fabrication d'autres réservoirs, citernes et conteneurs métalliques";"Fabrication d'autres réservoirs, citernes, conteneurs métalliques";"Fab. aut. réservr, citerne, etc. métal."
616;;;;
617;"25.3";"Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central";"Fabric. générateurs vapeur sf chaudières pour chauffage central";"Fab. générat. vapeur sf pr chauff. ctral"
618;"25.30";"Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central";"Fabric. générateurs vapeur sf chaudières pour chauffage central";"Fab. générat. vapeur sf pr chauff. ctral"
619;"25.30Z";"Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central";"Fabric. générateurs vapeur sf chaudières pour chauffage central";"Fab. générat. vapeur sf pr chauff. ctral"
620;;;;
621;"25.4";"Fabrication d'armes et de munitions";"Fabrication d'armes et de munitions";"Fabrication d'armes et de munitions"
622;"25.40";"Fabrication d'armes et de munitions";"Fabrication d'armes et de munitions";"Fabrication d'armes et de munitions"
623;"25.40Z";"Fabrication d'armes et de munitions";"Fabrication d'armes et de munitions";"Fabrication d'armes et de munitions"
624;;;;
625;"25.5";"Forge, emboutissage, estampage ; métallurgie des poudres";"Forge, emboutissage, estampage; métallurgie des poudres";"Forge, etc.; métallurgie des poudres"
626;"25.50";"Forge, emboutissage, estampage ; métallurgie des poudres";"Forge, emboutissage, estampage; métallurgie des poudres";"Forge, etc.; métallurgie des poudres"
627;"25.50A";"Forge, estampage, matriçage ; métallurgie des poudres";"Forge, estampage, matriçage; métallurgie des poudres";"Forge; métallurgie des poudres"
628;"25.50B";"Découpage, emboutissage";"Découpage, emboutissage";"Découpage, emboutissage"
629;;;;
630;"25.6";"Traitement et revêtement des métaux ; usinage";"Traitement et revêtement des métaux; usinage";"Traitmnt & revêtmnt des métaux; usinage"
631;"25.61";"Traitement et revêtement des métaux";"Traitement et revêtement des métaux";"Traitement et revêtement des métaux"
632;"25.61Z";"Traitement et revêtement des métaux";"Traitement et revêtement des métaux";"Traitement et revêtement des métaux"
633;"25.62";"Usinage";"Usinage";"Usinage"
634;"25.62A";"Décolletage";"Décolletage";"Décolletage"
635;"25.62B";"Mécanique industrielle";"Mécanique industrielle";"Mécanique industrielle"
636;;;;
637;"25.7";"Fabrication de coutellerie, d'outillage et de quincaillerie";"Fabrication de coutellerie, d'outillage et de quincaillerie";"Fab. coutellerie, outillage & quincaill."
638;"25.71";"Fabrication de coutellerie";"Fabrication de coutellerie";"Fabrication de coutellerie"
639;"25.71Z";"Fabrication de coutellerie";"Fabrication de coutellerie";"Fabrication de coutellerie"
640;"25.72";"Fabrication de serrures et de ferrures";"Fabrication de serrures et de ferrures";"Fabrication de serrures et de ferrures"
641;"25.72Z";"Fabrication de serrures et de ferrures";"Fabrication de serrures et de ferrures";"Fabrication de serrures et de ferrures"
642;"25.73";"Fabrication d'outillage";"Fabrication d'outillage";"Fabrication d'outillage"
643;"25.73A";"Fabrication de moules et modèles";"Fabrication de moules et modèles";"Fabrication de moules et modèles"
644;"25.73B";"Fabrication d'autres outillages";"Fabrication d'autres outillages";"Fabrication d'autres outillages"
645;;;;
646;"25.9";"Fabrication d'autres ouvrages en métaux";"Fabrication d'autres ouvrages en métaux";"Fabrication d'autres ouvrages en métaux"
647;"25.91";"Fabrication de fûts et emballages métalliques similaires";"Fabrication de fûts et emballages métalliques similaires";"Fab. fût & emballage métalliq. similaire"
648;"25.91Z";"Fabrication de fûts et emballages métalliques similaires";"Fabrication de fûts et emballages métalliques similaires";"Fab. fût & emballage métalliq. similaire"
649;"25.92";"Fabrication d'emballages métalliques légers";"Fabrication d'emballages métalliques légers";"Fabric. d'emballages métalliques légers"
650;"25.92Z";"Fabrication d'emballages métalliques légers";"Fabrication d'emballages métalliques légers";"Fabric. d'emballages métalliques légers"
651;"25.93";"Fabrication d'articles en fils métalliques, de chaînes et de ressorts";"Fabrication d'articles en fils métalliques, chaînes et ressorts";"Fab. art.  fil métal., chaîne & ressort"
652;"25.93Z";"Fabrication d'articles en fils métalliques, de chaînes et de ressorts";"Fabrication d'articles en fils métalliques, chaînes et ressorts";"Fab. art.  fil métal., chaîne & ressort"
653;"25.94";"Fabrication de vis et de boulons";"Fabrication de vis et de boulons";"Fabrication de vis et de boulons"
654;"25.94Z";"Fabrication de vis et de boulons";"Fabrication de vis et de boulons";"Fabrication de vis et de boulons"
655;"25.99";"Fabrication d'autres produits métalliques n.c.a.";"Fabrication d'autres produits métalliques n.c.a.";"Fabric. autres prod. métalliques n.c.a."
656;"25.99A";"Fabrication d'articles métalliques ménagers";"Fabrication d'articles métalliques ménagers";"Fabric. d'articles métalliques ménagers"
657;"25.99B";"Fabrication d'autres articles métalliques";"Fabrication d'autres articles métalliques";"Fabric. d'autres articles métalliques"
658;;;;
659;"26";"Fabrication de produits informatiques, électroniques et optiques";"Fabrication de produits informatiques, électroniques et optiques";"Fab. prod. informat., électroniq. & opt."
660;;;;
661;"26.1";"Fabrication de composants et cartes électroniques";"Fabrication de composants et cartes électroniques";"Fab. de composants & cartes électroniq."
662;"26.11";"Fabrication de composants électroniques";"Fabrication de composants électroniques";"Fabrication de composants électroniques"
663;"26.11Z";"Fabrication de composants électroniques";"Fabrication de composants électroniques";"Fabrication de composants électroniques"
664;"26.12";"Fabrication de cartes électroniques assemblées";"Fabrication de cartes électroniques assemblées";"Fab de cartes électroniques assemblées"
665;"26.12Z";"Fabrication de cartes électroniques assemblées";"Fabrication de cartes électroniques assemblées";"Fab. de cartes électroniques assemblées"
666;;;;
667;"26.2";"Fabrication d'ordinateurs et d'équipements périphériques";"Fabrication d'ordinateurs et d'équipements périphériques";"Fab. ordinateur & équipement périphériq."
668;"26.20";"Fabrication d'ordinateurs et d'équipements périphériques";"Fabrication d'ordinateurs et d'équipements périphériques";"Fab. ordinateur & équipement périphériq."
669;"26.20Z";"Fabrication d'ordinateurs et d'équipements périphériques";"Fabrication d'ordinateurs et d'équipements périphériques";"Fab. ordinateur & équipement périphériq."
670;;;;
671;"26.3";"Fabrication d'équipements de communication";"Fabrication d'équipements de communication";"Fabric. d'équipements de communication"
672;"26.30";"Fabrication d'équipements de communication ";"Fabrication d'équipements de communication";"Fabric. d'équipements de communication"
673;"26.30Z";"Fabrication d'équipements de communication ";"Fabrication d'équipements de communication";"Fabric. d'équipements de communication"
674;;;;
675;"26.4";"Fabrication de produits électroniques grand public";"Fabrication de produits électroniques grand public";"Fab. produit électronique grand public"
676;"26.40";"Fabrication de produits électroniques grand public";"Fabrication de produits électroniques grand public";"Fab. produit électronique grand public"
677;"26.40Z";"Fabrication de produits électroniques grand public";"Fabrication de produits électroniques grand public";"Fab. produit électronique grand public"
678;;;;
679;"26.5";"Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation ; horlogerie";"Fab. instrum. & appar. de mesure, essai & navigation; horlogerie";"Fab. instr. mesure, navigat.; horlogerie"
680;"26.51";"Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation";"Fabric. instruments & d'appareils mesure, essai & de navigation";"Fab. instrum. de mesure & de navigation"
681;"26.51A";"Fabrication d'équipements d'aide à la navigation";"Fabrication d'équipements d'aide à la navigation";"Fab. équipement d'aide à la navigation"
682;"26.51B";"Fabrication d'instrumentation scientifique et technique";"Fabrication d'instrumentation scientifique et technique";"Fab. instrumentation scientifiq. & tech."
683;"26.52";"Horlogerie";"Horlogerie";"Horlogerie"
684;"26.52Z";"Horlogerie";"Horlogerie";"Horlogerie"
685;;;;
686;"26.6";"Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques";"Fab. éqpts d'irradiation médic. électromédic. & électrothérapeut.";"Fab. éqpt irrad. médic. & électromedic."
687;"26.60";"Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques ";"Fab. éqpts d'irradiation médic. électromédic. & électrothérapeut.";"Fab. éqpt irrad. médic. & électromedic."
688;"26.60Z";"Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques ";"Fab. éqpts d'irradiation médic. électromédic. & électrothérapeut.";"Fab. éqpt irrad. médic. & électromedic."
689;;;;
690;"26.7";"Fabrication de matériels optique et photographique";"Fabrication de matériels optique et photographique";"Fab. matériel optique et photographique"
691;"26.70";"Fabrication de matériels optique et photographique";"Fabrication de matériels optique et photographique";"Fab. matériel optique et photographique"
692;"26.70Z";"Fabrication de matériels optique et photographique";"Fabrication de matériels optique et photographique";"Fab. matériel optique et photographique"
693;;;;
694;"26.8";"Fabrication de supports magnétiques et optiques";"Fabrication de supports magnétiques et optiques";"Fab. de supports magnétiques et optiques"
695;"26.80";"Fabrication de supports magnétiques et optiques";"Fabrication de supports magnétiques et optiques";"Fab. de supports magnétiques et optiques"
696;"26.80Z";"Fabrication de supports magnétiques et optiques";"Fabrication de supports magnétiques et optiques";"Fab. de supports magnétiques et optiques"
697;;;;
698;"27";"Fabrication d'équipements électriques";"Fabrication d'équipements électriques";"Fabrication d'équipements électriques"
699;;;;
700;"27.1";"Fabrication de moteurs, génératrices et transformateurs électriques et de matériel de distribution et de commande électrique";"Fab. moteurs générat. transfo. élec., mat. distrib. & cde électr.";"Fab. moteur génér. transfo. & mat. élec."
701;"27.11";"Fabrication de moteurs, génératrices et transformateurs électriques";"Fabrication de moteurs, génératrices, transformateurs électriques";"Fab. moteur génér. transfo. & mat. élec."
702;"27.11Z";"Fabrication de moteurs, génératrices et transformateurs électriques";"Fabrication de moteurs, génératrices, transformateurs électriques";"Fab. moteur génér. transfo. & mat. élec."
703;"27.12";"Fabrication de matériel de distribution et de commande électrique";"Fabrication de matériel de distribution et de commande électrique";"Fab. mat. de distrib. & de cde électri."
704;"27.12Z";"Fabrication de matériel de distribution et de commande électrique";"Fabrication de matériel de distribution et de commande électrique";"Fab. mat. de distrib. & de cde électri."
705;;;;
706;"27.2";"Fabrication de piles et d'accumulateurs électriques";"Fabrication de piles et d'accumulateurs électriques";"Fabric. pile & accumulateur électrique"
707;"27.20";"Fabrication de piles et d'accumulateurs électriques";"Fabrication de piles et d'accumulateurs électriques";"Fabric. pile & accumulateur électrique"
708;"27.20Z";"Fabrication de piles et d'accumulateurs électriques";"Fabrication de piles et d'accumulateurs électriques";"Fabric. pile & accumulateur électrique"
709;;;;
710;"27.3";"Fabrication de fils et câbles et de matériel d'installation électrique";"Fabric. fils câbles & matériel d'installation électrique";"Fab. fil câble & mat. install. électriq."
711;"27.31";"Fabrication de câbles de fibres optiques";"Fabrication de câbles de fibres optiques";"Fabrication de câbles de fibres optiques"
712;"27.31Z";"Fabrication de câbles de fibres optiques";"Fabrication de câbles de fibres optiques";"Fabrication de câbles de fibres optiques"
713;"27.32";"Fabrication d'autres fils et câbles électroniques ou électriques";"Fabrication d'autres fils et câbles électroniques ou électriques";"Fab. aut. fil & câble éltron. ou éltriq."
714;"27.32Z";"Fabrication d'autres fils et câbles électroniques ou électriques";"Fabrication d'autres fils et câbles électroniques ou électriques";"Fab. aut. fil & câble éltron. ou éltriq."
715;"27.33";"Fabrication de matériel d'installation électrique";"Fabrication de matériel d'installation électrique";"Fabric. matériel installation électrique"
716;"27.33Z";"Fabrication de matériel d'installation électrique";"Fabrication de matériel d'installation électrique";"Fabric. matériel installation électrique"
717;;;;
718;"27.4";"Fabrication d'appareils d'éclairage électrique";"Fabrication d'appareils d'éclairage électrique";"Fabric. appareils d'éclairage électrique"
719;"27.40";"Fabrication d'appareils d'éclairage électrique";"Fabrication d'appareils d'éclairage électrique";"Fabric. appareils d'éclairage électrique"
720;"27.40Z";"Fabrication d'appareils d'éclairage électrique";"Fabrication d'appareils d'éclairage électrique";"Fabric. appareils d'éclairage électrique"
721;;;;
722;"27.5";"Fabrication d'appareils ménagers";"Fabrication d'appareils ménagers";"Fabrication d'appareils ménagers"
723;"27.51";"Fabrication d'appareils électroménagers";"Fabrication d'appareils électroménagers";"Fabrication d'appareils électroménagers"
724;"27.51Z";"Fabrication d'appareils électroménagers";"Fabrication d'appareils électroménagers";"Fabrication d'appareils électroménagers"
725;"27.52";"Fabrication d'appareils ménagers non électriques";"Fabrication d'appareils ménagers non électriques";"Fab. appareils ménagers non électriques"
726;"27.52Z";"Fabrication d'appareils ménagers non électriques";"Fabrication d'appareils ménagers non électriques";"Fab. appareils ménagers non électriques"
727;;;;
728;"27.9";"Fabrication d'autres matériels électriques";"Fabrication d'autres matériels électriques";"Fabric. d'autres matériels électriques"
729;"27.90";"Fabrication d'autres matériels électriques";"Fabrication d'autres matériels électriques";"Fabric. d'autres matériels électriques"
730;"27.90Z";"Fabrication d'autres matériels électriques";"Fabrication d'autres matériels électriques";"Fabric. d'autres matériels électriques"
731;;;;
732;"28";"Fabrication de machines et équipements n.c.a.";"Fabrication de machines et équipements n.c.a.";"Fabric. de machines & équipements n.c.a."
733;;;;
734;"28.1";"Fabrication de machines d'usage général";"Fabrication de machines d'usage général";"Fabrication de machines d'usage général"
735;"28.11";"Fabrication de moteurs et turbines, à l'exception des moteurs d’avions et de véhicules";"Fabrication moteurs & turbines sf moteurs d'avions & de véhicules";"Fab. moteur & turb. sf pr avion & véhic."
736;"28.11Z";"Fabrication de moteurs et turbines, à l'exception des moteurs d’avions et de véhicules";"Fabrication moteurs & turbines sf moteurs d'avions & de véhicules";"Fab. moteur & turb. sf pr avion & véhic."
737;"28.12";"Fabrication d'équipements hydrauliques et pneumatiques";"Fabrication d'équipements hydrauliques et pneumatiques";"Fab. équipement hydraulique & pneumatiq."
738;"28.12Z";"Fabrication d'équipements hydrauliques et pneumatiques";"Fabrication d'équipements hydrauliques et pneumatiques";"Fab. équipement hydraulique & pneumatiq."
739;"28.13";"Fabrication d'autres pompes et compresseurs";"Fabrication d'autres pompes et compresseurs";"Fabric. d'autres pompes et compresseurs"
740;"28.13Z";"Fabrication d'autres pompes et compresseurs";"Fabrication d'autres pompes et compresseurs";"Fabric. d'autres pompes et compresseurs"
741;"28.14";"Fabrication d'autres articles de robinetterie";"Fabrication d'autres articles de robinetterie";"Fabric. autres articles de robinetterie"
742;"28.14Z";"Fabrication d'autres articles de robinetterie";"Fabrication d'autres articles de robinetterie";"Fabric. autres articles de robinetterie"
743;"28.15";"Fabrication d'engrenages et d'organes mécaniques de transmission";"Fabrication d'engrenages et d'organes mécaniques de transmission";"Fab. engrenage & organe méca. transmis."
744;"28.15Z";"Fabrication d'engrenages et d'organes mécaniques de transmission";"Fabrication d'engrenages et d'organes mécaniques de transmission";"Fab. engrenage & organe méca. transmis."
745;;;;
746;"28.2";"Fabrication d'autres machines d'usage général";"Fabrication d'autres machines d'usage général";"Fabric. autres machines d'usage général"
747;"28.21";"Fabrication de fours et brûleurs";"Fabrication de fours et brûleurs";"Fabrication de fours et brûleurs"
748;"28.21Z";"Fabrication de fours et brûleurs";"Fabrication de fours et brûleurs";"Fabrication de fours et brûleurs"
749;"28.22";"Fabrication de matériel de levage et de manutention";"Fabrication de matériel de levage et de manutention";"Fab. matériel de levage & de manutention"
750;"28.22Z";"Fabrication de matériel de levage et de manutention";"Fabrication de matériel de levage et de manutention";"Fab. matériel de levage & de manutention"
751;"28.23";"Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques)";"Fab. machines équipts bureau (sf ordinateurs & équipts périph.)";"Fab. machine équipt bureau (sf ordinat.)"
752;"28.23Z";"Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques)";"Fab. machines équipts bureau (sf ordinateurs & équipts périph.)";"Fab. machine équipt bureau (sf ordinat.)"
753;"28.24";"Fabrication d'outillage portatif à moteur incorporé";"Fabrication d'outillage portatif à moteur incorporé";"Fab. outillage portatif à moteur incorp."
754;"28.24Z";"Fabrication d'outillage portatif à moteur incorporé";"Fabrication d'outillage portatif à moteur incorporé";"Fab. outillage portatif à moteur incorp."
755;"28.25";"Fabrication d'équipements aérauliques et frigorifiques industriels";"Fabrication équipements aérauliques et frigorifiques industriels";"Fab. équipt aérauliq. & frigorifiq. ind."
756;"28.25Z";"Fabrication d'équipements aérauliques et frigorifiques industriels";"Fabrication équipements aérauliques et frigorifiques industriels";"Fab. équipt aérauliq. & frigorifiq. ind."
757;"28.29";"Fabrication de machines diverses d'usage général";"Fabrication de machines diverses d'usage général";"Fab. machines diverses d'usage général"
758;"28.29A";"Fabrication d'équipements d'emballage, de conditionnement et de pesage ";"Fabrication équipts emballage, conditionnement & pesage";"Fab. éqpt emballage condition. & pesage"
759;"28.29B";"Fabrication d'autres machines d'usage général";"Fabrication d'autres machines d'usage général";"Fab. d'autres machines d'usage général"
760;;;;
761;"28.3";"Fabrication de machines agricoles et forestières";"Fabrication de machines agricoles et forestières";"Fab. machines agricoles et forestières"
762;"28.30";"Fabrication de machines agricoles et forestières";"Fabrication de machines agricoles et forestières";"Fab. machines agricoles et forestières"
763;"28.30Z";"Fabrication de machines agricoles et forestières";"Fabrication de machines agricoles et forestières";"Fab. machines agricoles et forestières"
764;;;;
765;"28.4";"Fabrication de machines de formage des métaux et de machines-outils";"Fabrication machines de formage des métaux & machines-outils";"Fab. mach. formage métaux & mach.-outil"
766;"28.41";"Fabrication de machines de formage des métaux";"Fabrication de machines de formage des métaux";"Fab. de machines de formage des métaux"
767;"28.41Z";"Fabrication de machines-outils pour le travail des métaux";"Fabrication de machines-outils pour le travail des métaux";"Fab. de machines de formage des métaux"
768;"28.49";"Fabrication d'autres machines-outils ";"Fabrication d'autres machines-outils";"Fabrication d'autres machines-outils"
769;"28.49Z";"Fabrication d'autres machines-outils ";"Fabrication d'autres machines-outils";"Fabrication d'autres machines-outils"
770;;;;
771;"28.9";"Fabrication d'autres machines d'usage spécifique";"Fabrication d'autres machines d'usage spécifique";"Fabric. autre machine d'usage spécifique"
772;"28.91";"Fabrication de machines pour la métallurgie";"Fabrication de machines pour la métallurgie";"Fabric. de machines pour la métallurgie"
773;"28.91Z";"Fabrication de machines pour la métallurgie";"Fabrication de machines pour la métallurgie";"Fabric. de machines pour la métallurgie"
774;"28.92";"Fabrication de machines pour l'extraction ou la construction";"Fabrication de machines pour l'extraction ou la construction";"Fab. machine pour extraction ou constr."
775;"28.92Z";"Fabrication de machines pour l'extraction ou la construction";"Fabrication de machines pour l'extraction ou la construction";"Fab. machine pour extraction ou constr."
776;"28.93";"Fabrication de machines pour l'industrie agro-alimentaire";"Fabrication de machines pour l'industrie agro-alimentaire";"Fab. machine pour l'indus. agro-aliment."
777;"28.93Z";"Fabrication de machines pour l'industrie agro-alimentaire";"Fabrication de machines pour l'industrie agro-alimentaire";"Fab. machine pour l'indus. agro-aliment."
778;"28.94";"Fabrication de machines pour les industries textiles";"Fabrication de machines pour les industries textiles";"Fab. machine pour industries textiles"
779;"28.94Z";"Fabrication de machines pour les industries textiles";"Fabrication de machines pour les industries textiles";"Fab. machine pour industries textiles"
780;"28.95";"Fabrication de machines pour les industries du papier et du carton";"Fabrication de machines pour les industries du papier et carton";"Fab. machine pr indus. papier & carton"
781;"28.95Z";"Fabrication de machines pour les industries du papier et du carton";"Fabrication de machines pour les industries du papier et carton";"Fab. machine pr indus. papier & carton"
782;"28.96";"Fabrication de machines pour le travail du caoutchouc ou des plastiques";"Fabric. machines pour le travail du caoutchouc ou des plastiques";"Fab. machine pr trav. du caoutch, plast."
783;"28.96Z";"Fabrication de machines pour le travail du caoutchouc ou des plastiques";"Fabric. machines pour le travail du caoutchouc ou des plastiques";"Fab. machine pr trav. du caoutch, plast."
784;"28.99";"Fabrication d'autres machines d'usage spécifique n.c.a.";"Fabrication d'autres machines d'usage spécifique n.c.a.";"Fab. autre machine usage spécifi. n.c.a."
785;"28.99A";"Fabrication de machines d'imprimerie";"Fabrication de machines d'imprimerie";"Fabrication de machines d'imprimerie"
786;"28.99B";"Fabrication d'autres machines spécialisées";"Fabrication d'autres machines spécialisées";"Fabric. d'autres machines spécialisées"
787;;;;
788;"29";"Industrie automobile";"Industrie automobile";"Industrie automobile"
789;;;;
790;"29.1";"Construction de véhicules automobiles";"Construction de véhicules automobiles";"Construction de véhicules automobiles"
791;"29.10";"Construction de véhicules automobiles";"Construction de véhicules automobiles";"Construction de véhicules automobiles"
792;"29.10Z";"Construction de véhicules automobiles";"Construction de véhicules automobiles";"Construction de véhicules automobiles"
793;;;;
794;"29.2";"Fabrication de carrosseries et remorques";"Fabrication de carrosseries et remorques";"Fabrication de carrosseries et remorques"
