"CODES NC
2020";LIBELLES AUTOSUFFISANTS NC 2020 (fichier DSECE);"CREATIONS (1)
MODIFICATIONS (2)"
2844 30;"Uranium appauvri en U 235 et ses composés; thorium et ses composés; alliages, dispersions - y.c. les cermets -, produits céramiques et mélanges renfermant de l'uranium appauvri en U 235, du thorium ou des composés de ces produits";
2844 30 11;Cermets renfermant de l'uranium appauvri en U 235 ou des composés de ce produit;
2844 30 19;"Uranium appauvri en U 235; alliages, dispersions, produits céramiques et mélanges renfermant de l'uranium appauvri en U 235 ou des composés de ces produits (à l'excl. des cermets)";
2844 30 51;Cermets renfermant du thorium ou des composés de ce produit;
2844 30 55;"Thorium, brut; déchets et débris de thorium [Euratom]";
2844 30 61;Barres, profilés, fils, tôles, bandes et feuilles, en thorium [Euratom];
2844 30 69;Thorium ouvré et alliages, dispersions, produits céramiques et mélanges renfermant du thorium ou des composés de thorium [Euratom] (à l'excl. des cermets ainsi que des barres, profilés, fils, tôles, bandes et feuilles);
2844 30 91;Composés du thorium ou de l'uranium appauvri en U 235, même mélangés entre eux [Euratom] (à l'excl. des sels de thorium);
2844 30 99;Sels de thorium;
2844 40;"Éléments, isotopes et composés radioactifs; alliages, dispersions - y.c. les cermets -, produits céramiques et mélanges renfermant ces éléments, isotopes ou composés; résidus radioactifs (sauf uranium naturel, uranium enrichi ou appauvri en U235, plutonium, thorium et leurs composés)";
2844 40 10;"Uranium renfermant de l'U 233 et ses composés; alliages, dispersions - y.c. les cermets -, produits céramiques et mélanges renfermant de l'U 233 ou des composés de ce produit";
2844 40 20;Isotopes radioactifs artificiels [Euratom];
2844 40 30;Composés des isotopes radioactifs artificiels [Euratom];
2844 40 80;"Éléments, isotopes et composés radioactifs (à l'excl. des éléments, isotopes et composés des n° 284410, 284420, 284430 et 2844 40 10 à 2844 40 30); alliages, dispersions - y.c. les cermets -, produits céramiques et mélanges renfermant ces éléments, isotopes ou composés; résidus radioactifs (à l'excl. des résidus de l'uranium appauvri en U 233)";
2844 50 00;Éléments combustibles [cartouches] usés [irradiés] de réacteurs nucléaires [Euratom];
2845;"Isotopes, non-radioactifs; leurs composés inorganiques ou organiques, de constitution chimique définie ou non";
2845 10 00;Eau lourde [oxyde de deutérium] [Euratom];
2845 90;Isotopes, non-radioactifs et leurs composés inorganiques ou organiques, de constitution chimique définie ou non (à l'excl. de l'eau lourde [oxyde de deutérium]);
2845 90 10;"Deutérium et composés du deutérium; hydrogène et ses composés, enrichis en deutérium; mélanges et solutions contenant ces produits [Euratom] (à l'excl. de l'eau lourde [oxyde de deutérium])";
2845 90 90;Isotopes, non radioactifs et leurs composés inorganiques ou organiques, de constitution chimique définie ou non (à l'excl. du deutérium, de l'eau lourde [oxyde de deutérium], et des autres composés du deutérium, de l'hydrogène et de ses composés, enrichis en deutérium, ainsi que des mélanges et solutions contenant ces produits);
2846;Composés, inorganiques ou organiques, des métaux des terres rares, de l'yttrium ou du scandium ou des mélanges de ces métaux;
2846 10 00;Composés de cérium;
2846 90;Composés, inorganiques ou organiques, des métaux des terres rares, de l'yttrium ou du scandium ou des mélanges de ces métaux (à l'excl. des composés de cérium);
2846 90 10;Composés, inorganiques ou organiques, du lanthane, du praséodyme, du néodyme ou du samarium;
2846 90 20;Composés, inorganiques ou organiques, de l'europium, du gadolinium, du terbium, du dysprosium, de l'holmium, de l'erbium, du thulium, de l'ytterbium, du lutétium ou de l'yttrium;
2846 90 30;Composés, inorganiques ou organiques, du scandium;
2846 90 90;Composés, inorganiques ou organiques, de mélanges de métaux de terres rares, de scandium et d'yttrium;
2847 00 00;Peroxyde d'hydrogène [eau oxygénée], même solidifié avec de l'urée;
2849;Carbures, de constitution chimique définie ou non;
2849 10 00;Carbure de calcium, de constitution chimique définie ou non;
2849 20 00;Carbure de silicium, de constitution chimique définie ou non;
2849 90;Carbures, de constitution chimique définie ou non (à l'excl. des carbures de calcium ou de silicium et des composés inorganiques ou organiques du mercure, de constitution chimique définie ou non);
2849 90 10;Carbure de bore, de constitution chimique définie ou non;
2849 90 30;Carbures de tungstène, de constitution chimique définie ou non;
2849 90 50;Carbures d'aluminium, de chrome, de molybdène, de vanadium, de tantale et de titane, de constitution chimique définie ou non;
2849 90 90;Carbures, de constitution chimique définie ou non (à l'excl. des carbures de calcium, de silicium, de bore, de tungstène, d’aluminium, de chrome, de molybdène, de vanadium, de tantale, de titane et des composés inorganiques ou organiques du mercure, de constitution chimique définie ou non);
2850 00;Hydrures, nitrures, azotures, siliciures et borures, de constitution chimique définie ou non (à l'excl. des composés qui constituent également des carbures du no 2849 et des composés inorganiques ou organiques du mercure, de constitution chimique définie ou non);
2850 00 20;Hydrures et nitrures, de constitution chimique définie ou non (à l’excl. des composés qui constituent également des carbures du no 2849 et des composants inorganiques ou organiques du mercure);
2850 00 60;Azotures, siliciures, de constitution chimique définie ou non (à l’excl. des composés qui constituent également des carbures du no 2849 et des composés inorganiques ou organiques du mercure);
2850 00 90;Borures, de constitution chimique définie ou non (à l'excl. des composés qui constituent également des carbures du no 2849 et des composés inorganiques ou organiques du mercure);
2852;Composés, inorganiques ou organiques, du mercure, de constitution chimique définie ou non (à l'excl. des amalgames);
2852 10 00;Composés, inorganiques ou organiques, du mercure, de constitution chimique définie (à l'excl. des amalgames);
2852 90 00;Composés, inorganiques ou organiques, du mercure, de constitution chimique non définie (à l'excl. des amalgames);
2853;"Phosphures, de constitution chimique définie ou non (à l’excl. des ferrophosphores); composés inorganiques, y.c. les eaux distillées, de conductibilité ou de même degré de pureté, n.d.a.; air liquide, y.c. l'air liquide dont les gaz ont été éliminés; air comprimé; amalgames (autres que de métaux précieux)";
2853 10 00;Chlorure de cyanogène «chlorcyan»;
2853 90;"Phosphures, de constitution chimique définie ou non (à l’exclusion des ferrophosphores); composés inorganiques, y compris les eaux distillées, de conductibilité ou de même degré de pureté, n.d.a.; air liquide, y compris l’air liquide dont les gaz rares ont été éliminés; air comprimé; amalgames (autres que de métaux précieux)";
2853 90 10;Eaux distillées, de conductibilité ou de même degré de pureté;
2853 90 30;"Air liquide, y compris l’air liquide dont les gaz rares ont été éliminés; air comprimé";
2853 90 90;"Composés inorganiques, n.d.a.; amalgames (autres que de métaux précieux)";
CHAPITRE 29;PRODUITS CHIMIQUES ORGANIQUES;
2901;Hydrocarbures acycliques;
2901 10 00;Hydrocarbures acycliques, saturés;
2901 21 00;Éthylène;
2901 22 00;Propène [propylène];
2901 23 00;Butène [butylène] et ses isomères;
2901 24 00;Buta-1,3-diène et isoprène;
2901 29 00;Hydrocarbures acycliques, non saturés (à l'excl. de l'éthylène, du propène [propylène], du butène [butylène] et ses isomères ainsi que du buta-1,3-diène et de l'isoprène);
2902;Hydrocarbures cycliques;
2902 11 00;Cyclohexane;
2902 19 00;Hydrocarbures cyclaniques, cycléniques ou cycloterpéniques (à l'excl. du cyclohexane);
2902 20 00;Benzène;
2902 30 00;Toluène;
2902 41 00;o-Xylène;
2902 42 00;m-Xylène;
2902 43 00;p-Xylène;
2902 44 00;Isomères du xylène en mélange;
2902 50 00;Styrène;
2902 60 00;Éthylbenzène;
2902 70 00;Cumène;
2902 90 00;Hydrocarbures cycliques (à l'excl. des hydrocarbures cyclaniques, cycléniques ou cycloterpéniques, du benzène, du toluène, des xylènes, du styrène, de l'éthylbenzène et du cumène);
2903;Dérivés halogénés des hydrocarbures;
2903 11 00;Chlorométhane [chlorure de méthyle] et chloroéthane [chlorure d'éthyle];
2903 12 00;Dichlorométhane [chlorure de méthylène];
2903 13 00;Chloroforme [trichlorométhane];
2903 14 00;Tétrachlorure de carbone;
2903 15 00;Dichlorure d'éthylène [ISO] [1,2-dichloroéthane];
2903 19 00;Dérivés chlorés saturés des hydrocarbures acycliques (à l'excl. du chlorométhane [chlorure de méthyle], du chloroéthane [chlorure d'éthyle], du dichlorométhane [chlorure de méthylène], du chloroforme [trichlorométhane], du tétrachlorure de carbone et du dichlorure d'éthylène [ISO] [1,2-dichloroéthane]);
2903 21 00;Chlorure de vinyle [chloroéthylène];
2903 22 00;Trichloroéthylène;
2903 23 00;Tétrachloroéthylène [perchloroéthylène];
2903 29 00;Dérivés chlorés non saturés des hydrocarbures acycliques (à l'excl. du chlorure de vinyle [chloroéthylène], du trichloroéthylène et du tétrachloroéthylène [perchloroéthylène]);
2903 31 00;Dibromure d'éthylène [ISO] [1,2-dibromoéthane];
2903 39;Dérivés fluorés, dérivés bromés et dérivés iodés des hydrocarbures acycliques (à l'excl. du dibromure d'éthylène [ISO] [1,2-dibromoéthane]);
2903 39 11;Bromométhane [bromure de méthyle];
2903 39 15;Dibromométhane;
2903 39 19;Bromures [dérivés bromés] des hydrocarbures acycliques (à l'excl. du dibromure d'éthylène [ISO] [1,2-dibromoéthane], du bromométhane [bromure de méthyle] et du dibromométhane);
2903 39 21;Difluorométhane;
2903 39 23;Trifluorométhane;
2903 39 24;Pentafluoroéthane et 1,1,1-trifluoroéthane;
2903 39 25;1,1-difluoroéthane;
2903 39 26;1,1,1,2-tétrafluoroéthane;
2903 39 27;Pentafluoropropanes, hexafluoropropanes et heptafluoropropanes;
2903 39 28;Fluorures saturés perfluorés;
2903 39 29;Fluorures saturés [dérivés fluorés] des hydrocarbures acycliques n.d.a.;
2903 39 31;2,3,3,3-tétrafluoropropane;
2903 39 35;1,3,3,3-tétrafluoropropane;
2903 39 39;Fluorures non saturés [dérivés fluorés] des hydrocarbures acycliques (à l'excl. du 2,3,3,3-tétrafluoropropane et du 1,3,3,3-tétrafluoropropane);
2903 39 80;Iodures [dérivés iodés] des hydrocarbures acycliques;
2903 71 00;Chlorodifluorométhane;
2903 72 00;Dichlorotrifluoroéthanes;
2903 73 00;Dichlorofluoroéthanes;
2903 74 00;Chlorodifluoroéthanes;
2903 75 00;Dichloropentafluoropropanes;
2903 76;Bromochlorodifluorométhane, bromotrifluorométhane et dibromotétrafluoroéthanes;
2903 76 10;Bromochlorodifluorométhane;
2903 76 20;Bromotrifluorométhane;
2903 76 90;Dibromotétrafluoroéthanes;
2903 77;Dérivés halogénés des hydrocarbures acycliques contenant au moins deux halogènes différents, perhalogénés uniquement avec du fluor et du chlore (à l'excl. du chlorodifluoroéthane, des dichlorotrifluoroéthanes, dichlorofluoroéthanes, chlorodifluoroéthanes, dichloropentafluoropropanes, du bromochlorodifluorométhane, bromotrifluorométhane et des dibromotétrafluoroéthanes);
2903 77 60;Trichlorofluorométhane, dichlorodifluorométhane, trichlorotrifluoroéthanes, dichlorotétrafluoroéthanes et chloropentafluoroéthane;
2903 77 90;Dérivés halogénés des hydrocarbures acycliques contenant au moins deux halogènes différents, perhalogénés uniquement avec du fluor et du chlore, n.d.a.;
2903 78 00;Dérivés perhalogénés des hydrocarbures acycliques contenant au moins deux halogènes différents, n.d.a.;
2903 79;Dérivés halogénés des hydrocarbures acycliques contenant au moins deux halogènes différents (à l'excl. des dérivés perhalogénés, du chlorodifluoroéthane, des dichlorotrifluoroéthanes, dichlorofluoroéthanes, chlorodifluoroéthanes, dichloropentafluoropropanes, du bromochlorodifluorométhane, bromotrifluorométhane et des dibromotétrafluoroéthanes);
2903 79 30;Dérivés halogénés des hydrocarbures acycliques, halogénés uniquement avec du brome et du chlore, du fluor et du chlore ou du fluor et du brome (à l'excl. des dérivés perhalogénés, du chlorodifluorométhane, des dichlorotrifluoroéthanes, des dichlorofluoroéthanes, des chlorodifluoroéthanes, des dichloropentafluoropropanes, du bromotrifluorométhane et des dibromotétrafluoroéthanes);
2903 79 80;Dérivés halogénés des hydrocarbures acycliques contenant au moins deux halogènes différents, n.d.a.;
2903 81 00;1,2,3,4,5,6-hexachlorocyclohexane [HCH (ISO)], y compris lindane (ISO, DCI);
2903 82 00;Aldrine (ISO), chlordane (ISO) et heptachlore (ISO);
2903 83 00;Mirex «ISO»;
2903 89;Dérivés halogénés des hydrocarbures cyclaniques, cycléniques ou cycloterpéniques [à l’exclusion du 1,2,3,4,5,6-hexachlorocyclohexane «HCH (ISO)», du lindane (ISO, DCI), de l’aldrine (ISO), du chlordane (ISO), de l’heptachlore (ISO) et du mirex (ISO)];
2903 89 10;"1,2-Dibromo-4-(1,2-dibromoéthyl)cyclohexane; tétrabromocyclooctanes";
2903 89 80;Dérivés halogénés des hydrocarbures cyclaniques, cycléniques ou cycloterpéniques [à l’exclusion du 1,2,3,4,5,6-hexachlorocyclohexane «HCH (ISO)», du lindane (ISO, DCI), de l’aldrine (ISO), du chlordane (ISO), de l’heptachlore (ISO), du mirex (ISO), du 1,2-dibromo-4-(1,2-dibromoéthyl)cyclohexane et des tétrabromocyclooctanes];
2903 91 00;Chlorobenzène, o-dichlorobenzène et p-dichlorobenzène;
2903 92 00;Hexachlorobenzène (ISO) et DDT (ISO) [clofénotane (DCI), 1,1,1-trichloro-2,2-bis(p-chlorophényl)éthane];
2903 93 00;Pentachlorobenzène «ISO»;
2903 94 00;Hexabromobiphényles;
2903 99;Dérivés halogénés des hydrocarbures aromatiques [à l’exclusion du chlorobenzène, du o-dichlorobenzène, du p-dichlorobenzène, de l’hexachlorobenzène (ISO), du DDT (ISO) «clofénotane (DCI), 1,1,1-trichloro-2,2-bis(p-chlorophényl)éthane», du pentachlorobenzène «ISO» et des hexabromobiphényles];
2903 99 10;2,3,4,5,6-Pentabromoéthylbenzène;
2903 99 80;Dérivés halogénés des hydrocarbures aromatiques [à l’exclusion du chlorobenzène, du o-dichlorobenzène, du p-dichlorobenzène, de l’hexachlorobenzène (ISO), du DDT (ISO) «clofénotane (DCI), 1,1,1-trichloro-2,2-bis(p-chlorophényl)éthane», du pentachlorobenzène «ISO», des hexabromobiphényles) et du 2,3,4,5,6-pentabromoéthylbenzène];
2904;Dérivés sulfonés, nitrés ou nitrosés des hydrocarbures, même halogénés;
2904 10 00;Dérivés, seulement sulfonés, des hydrocarbures, leurs sels et leurs esters éthyliques;
2904 20 00;Dérivés, seulement nitrés ou seulement nitrosés, des hydrocarbures;
2904 31 00;Acide perfluorooctane sulfonique;
2904 32 00;Sulfonate de perfluorooctane d’ammonium;
2904 33 00;Sulfonate de perfluorooctane de lithium;
2904 34 00;Sulfonate de perfluorooctane de potassium;
2904 35 00;Sels d’acide perfluorooctane sulfonique (à l’exclusion des sulfonates de perfluorooctane d’ammonium, de lithium et de potassium);
2904 36 00;Fluorure de perfluorooctane sulfonyle;
2904 91 00;Trichloronitrométhane «chloropicrine»;
2904 99 00;Dérivés sulfonés, nitrés ou nitrosés des hydrocarbures, même halogénés (à l’exclusion des dérivés seulement sulfonés, seulement nitrés ou seulement nitrosés, du trichloronitrométhane «chloropicrine», de l’acide perfluorooctane sulfonique et ses sels, du fluorure de perfluorooctane sulfonyle et des esters du glycérol avec des composés à fonction acide);
2905;Alcools acycliques et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés;
2905 11 00;Méthanol [alcool méthylique];
2905 12 00;Propane-1-ol [alcool propylique] et propane-2-ol [alcool isopropylique];
2905 13 00;Butane-1-ol [alcool n-butylique];
2905 14;Butanols (à l'excl. du butane-1-ol [alcool n-butylique]);
2905 14 10;2-Méthylpropane-2-ol [alcool ter-butylique];
2905 14 90;Butanols (à l'excl. du butane-1-ol [alcool n-butylique] et du 2-méthylpropane-2-ol [alcool ter-butylique]);
2905 16;Octanol [alcool octylique] et ses isomères;
2905 16 20;Octane-2-ol;
2905 16 85;Octanol [alcool octylique] et ses isomères (à l'excl. du octane-2-ol);
2905 17 00;Dodécane-1-ol [alcool laurique], hexadécane-1-ol [alcool cétylique] et octadécane-1-ol [alcool stéarique];
2905 19 00;Monoalcools acycliques saturés (à l'excl. du méthanol [alcool méthylique], du propane-1-ol [alcool propylique], du propane-2-ol [alcool isopropylique], des butanols, de l'octanol [alcool octylique] et ses isomères, du dodécane-1-ol [alcool laurique], de l'hexadécane-1-ol [alcool cétylique] et de l'octadécane-1-ol [alcool stéarique]);
2905 22 00;Alcools terpéniques acycliques;
2905 29;Monoalcools acycliques non-saturés (à l'excl. des alcools terpéniques acycliques);
2905 29 10;Alcool allylique;
2905 29 90;Monoalcools acycliques non saturés (à l'excl. de l'alcool allylique et des alcools terpéniques acycliques);
2905 31 00;Éthylène glycol [éthanediol];
2905 32 00;Propylène glycol [propane-1,2-diol];
2905 39;Diols acycliques (à l'excl. de l'éthylène glycol [éthanediol] et du propylène glycol [propane-1,2-diol]);
2905 39 20;Butane-1,3-diol;
2905 39 26;Butane-1,4-diol et tétraméthylène glycol [1,4-butanédiol] d'une teneur en carbone provenant de matériaux biologiques de 100 % en masse;
2905 39 28;Butane-1,4-diol (sauf d'une teneur en carbone provenant de matériaux biologiques de 100 % en masse);
2905 39 30;2,4,7,9-Tétraméthyldéc-5-yne-4,7-diol;
2905 39 95;Diols acycliques (à l'excl. de l'éthylène glycol [éthanediol], du propylène glycol [propane-1,2-diol], du butane-1,3-diol, du butane-1,4-diol et du 2,4,7,9-tétraméthyldéc-5-yne-4,7-diol);
2905 41 00;2-Éthyl-2-[hydroxyméthyl]propane-1,3-diol [triméthylolpropane];
2905 42 00;Pentaérythritol [pentaérythrite];
2905 43 00;Mannitol;
2905 44;D-Glucitol [sorbitol];
2905 44 11;D-Glucitol [sorbitol], en solution aqueuse, contenant du D-mannitol dans une proportion <= 2% en poids, calculée sur sa teneur en D-glucitol;
2905 44 19;D-Glucitol [sorbitol], en solution aqueuse (à l'excl. du D-glucitol contenant du D-mannitol dans une proportion <= 2% en poids, calculée sur sa teneur en D-glucitol);
2905 44 91;D-glucitol [sorbitol], contenant du D-mannitol dans une proportion <= 2% en poids, calculée sur sa teneur en D-glucitol (à l'excl. du D-glucitol en solution aqueuse);
2905 44 99;D-Glucitol [sorbitol] (à l'excl. du D-glucitol en solution aqueuse ainsi que du D-glucitol contenant du D-mannitol dans une proportion <= 2% en poids, calculée sur sa teneur en D-glucitol);
2905 45 00;Glycérol;
2905 49 00;Triols, tétrols et autres polyalcools acycliques (à l'excl. des diols, du 2-éthyl-2-(hydroxyméthyl)propane-1,3-diol [triméthylolpropane], du pentaérythritol, du mannitol, du D-glucitol [sorbitol] et du glycérol);
2905 51 00;Ethchlorvynol [DCI];
2905 59;Dérivés halogénés, sulfonés, nitrés ou nitrosés des alcools acycliques (à l'excl. du ethchlorvynol [DCI]);
2905 59 91;2,2-Bis[bromométhyl]propanediol;
2905 59 98;Dérivés halogénés, sulfonés, nitrés ou nitrosés des alcools acycliques (à l'excl. du 2,2-Bis[bromométhyl]propanediol et du ethchlorvynol [DCI]);
2906;Alcools cycliques et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés;
2906 11 00;Menthol;
2906 12 00;Cyclohexanol, méthylcyclohexanols et diméthylcyclohexanols;
2906 13;Stérols et inositols;
2906 13 10;Stérols;
2906 13 90;Inositols;
2906 19 00;Alcools cyclaniques, cycléniques ou cycloterpéniques et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l'excl. du menthol, du cyclohexanol, des méthylcyclohexanols, des diméthylcyclohexanols, des stérols et des inositols);
2906 21 00;Alcool benzylique;
2906 29 00;Alcools cycliques aromatiques et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l'excl. de l'alcool benzylique);
2907;"Phénols; phénols-alcools";
2907 11 00;Phénol [hydroxybenzène] et ses sels;
2907 12 00;Crésols et leurs sels;
2907 13 00;"Octylphénol, nonylphénol et leurs isomères; sels de ces produits";
2907 15;Naphtols et leurs sels;
2907 15 10;1-Naphtol;
2907 15 90;Naphtols et leurs sels (à l'excl. du 1-naphtol);
2907 19;Monophénols (à l'excl. du phénol [hydroxybenzène], des crésols, de l'octylphénol, du nonylphénol, des isomères de l'octylphénol et du nonylphénol, des naphtols ainsi que des sels de tous ces produits);
2907 19 10;Xylénols et leurs sels;
2907 19 90;Monophénols (à l'excl. du phénol [hydroxybenzène], des crésols, de l'octylphénol, du nonylphénol, des isomères de l'octylphénol et du nonylphénol, des xylénols, des naphtols ainsi que des sels de tous ces produits);
2907 21 00;Résorcinol et ses sels;
2907 22 00;Hydroquinone et ses sels;
2907 23 00;4,4'-Isopropylidènediphénol [bisphénol A, diphénylolpropane] et ses sels;
2907 29 00;Polyphénols et phénols-alcools (à l'excl. du résorcinol, de l'hydroquinone, du 4,4'-isopropylidènediphénol [bisphénol A, diphénylolpropane] ainsi que des sels de ces produits);
2908;Dérivés halogénés, sulfonés, nitrés ou nitrosés des phénols ou des phénols-alcools;
2908 11 00;Pentachlorophénol [ISO];
2908 19 00;Dérivés seulement halogénés des phénols ou des phénols-alcools et leurs sels (à l'excl. du pentachlorophénol [ISO]);
2908 91 00;"""Dinosèbe [ISO] et ses sels";
2908 92 00;4,6-Dinitro-o-crésol (DNOC (ISO)) et ses sels;
2908 99 00;Dérivés halogénés, sulfonés, nitrés ou nitrosés des phénols ou des phénols-alcools (à l'excl. des dérivés seulement halogénés et leurs sels, du dinosèbe (ISO) et ses sels et du 4,6-Dinitro-o-crésol (DNOC (ISO)) et ses sels);
2909;Éthers, éthers-alcools, éthers-phénols, éthers-alcools-phénols, peroxydes d'alcools, peroxydes d'éthers, peroxydes de cétones, de constitution chimique définie ou non, et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés;
2909 11 00;Éther diéthylique [oxyde de diéthyle];
2909 19;Éthers acycliques et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l'excl. de l'éther diéthylique [oxyde de diéthyle]);
2909 19 10;Oxyde de tert-butyle et d'éthyle (oxyde d'éthyle et de tert-butyle, ETBE);
2909 19 90;Éthers acycliques et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l'excl. de l'éther diéthylique [oxyde de diéthyle] et oxyde de tert-butyle et d'éthyle [oxyde d'éthyle et de tert-butyle, ETBE]);
2909 20 00;Éthers cyclaniques, cycléniques, cycloterpéniques et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés;
2909 30;Éthers aromatiques et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés;
2909 30 10;Éther diphénylique [oxyde de diphényle];
2909 30 31;"Oxyde de pentabromodiphényle; 1,2,4,5-tétrabromo-3,6-bis[pentabromophénoxy]benzène";
2909 30 35;1,2-Bis[2,4,6-tribromophénoxy]éthane destiné à la fabrication d'acrylonitrile-butadiène-styrène [ABS];
2909 30 38;Dérivés bromés des éthers aromatiques (à l'excl. de l'oxyde de pentabromodiphényle, du 1,2,4,5-tétrabromo-3,6-bis[pentabromophénoxy]benzène et du 1,2-bis[2,4,6-tribromophénoxy]éthane destiné à la fabrication d'acrylonitrile-butadiène-styrène [ABS]);
2909 30 90;Éthers aromatiques et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l'excl. des dérivés bromés et de l'éther diphénylique [oxyde de diphényle]);
2909 41 00;2,2'-Oxydiéthanol [diéthylène-glycol];
2909 43 00;Éthers monobutyliques de l'éthylène-glycol ou du diéthylène-glycol;
2909 44 00;Éthers monoalkyliques de l'éthylène-glycol ou du diéthylène-glycol (à l'excl. des éthers monobutyliques);
2909 49;Éthers-alcools et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l'excl. du 2,2'-oxydiéthanol [diéthylène-glycol] ainsi que des éthers monoalkyliques de l'éthylène-glycol ou du diéthylène-glycol);
2909 49 11;2-[2-Chloroéthoxy]éthanol;
2909 49 80;Éthers-alcools cycliques et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés ( à l'excl. du 2-(2-Chloroéthoxy)éthanol);
2909 50 00;Éthers-phénols, éthers-alcools-phénols et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés;
2909 60 00;Peroxydes d'alcools, peroxydes d'éthers, peroxydes de cétones et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés;
2910;Époxydes, époxy-alcools, époxy-phénols et époxy-éthers, avec trois atomes dans le cycle, et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés;
2910 10 00;Oxiranne «oxyde d’éthylène»;
2910 20 00;Méthyloxiranne «oxyde de propylène»;
2910 30 00;1-chloro-2,3-époxypropane «épichlorhydrine»;
2910 40 00;Dieldrine «ISO» «DCI»;
2910 50 00;Endrine «ISO»;
2910 90 00;Époxydes, époxy-alcools, époxy-phénols et époxy-éthers, avec trois atomes dans le cycle, et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés [à l’exclusion de l’oxiranne «oxyde d’éthylène», du méthyloxiranne «oxyde de propylène», du 1-chloro-2,3-époxypropane «épichlorhydrine», du dieldrine (ISO) (DCI) et de l’endrine «ISO»];
2911 00 00;Acétals et hémi-acétals, même contenant d'autres fonctions oxygénées, et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés;
2912;"Aldéhydes, même contenant d'autres fonctions oxygénées; polymères cycliques des aldéhydes; paraformaldéhyde";
2912 11 00;Méthanal [formaldéhyde];
2912 12 00;Éthanal [acétaldéhyde];
2912 19 00;Aldéhydes acycliques ne contenant pas d'autres fonctions oxygénées (à l'excl. du méthanal [formaldéhyde] et de l'éthanal [acétaldéhyde]);
2912 21 00;Benzaldéhyde [aldéhyde benzoïque];
2912 29 00;Aldéhydes cycliques ne contenant pas d'autres fonctions oxygénées (à l'excl. du benzaldéhyde [aldéhyde benzoïque]);
2912 41 00;Vanilline [aldéhyde méthylprotocatéchique];
2912 42 00;Éthylvanilline [aldéhyde éthylprotocatéchique];
2912 49 00;Aldéhydes-alcools, aldéhydes-éthers, aldéhydes-phénols et aldéhydes contenant d'autres fonctions oxygénées (à l'excl. de la vanilline [aldéhyde méthylprotocatéchique] et de l'éthylvanilline [aldéhyde éthylprotocatéchique]);
2912 50 00;Polymères cycliques des aldéhydes;
2912 60 00;Paraformaldéhyde;
2913 00 00;Dérivés halogénés, sulfonés, nitrés ou nitrosés des aldéhydes, des polymères cycliques des aldéhydes ou du formaldéhyde;
2914;Cétones et quinones, même contenant d’autres fonctions oxygénées, et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés;
2914 11 00;Acétone;
2914 12 00;Butanone «méthyléthylcétone»;
2914 13 00;4-méthylpentane-2-one «méthylisobutylcétone»;
2914 19;Cétones acycliques ne contenant pas d’autres fonctions oxygénées (à l’exclusion de l’acétone, du butanone «méthyléthylcétone» et du 4-méthylpentane-2-one «méthylisobutylcétone»);
2914 19 10;5-méthylhexane-2-one;
2914 19 90;Cétones acycliques ne contenant pas d’autres fonctions oxygénées (à l’exclusion de l’acétone, du butanone «méthyléthylcétone», du 4-méthylpentane-2-one «méthylisobutylcétone» et du 5-méthylhexane-2-one);
2914 22 00;Cyclohexanone et méthylcyclohexanones;
2914 23 00;Ionones et méthylionones;
2914 29 00;Cétones cyclaniques, cycléniques ou cycloterpéniques ne contenant pas d’autres fonctions oxygénées (à l’exclusion de la cyclohexanone, des méthylcyclohexanones, des ionones et méthylionones);
2914 31 00;Phénylacétone «phénylpropane-2-one»;
2914 39 00;Cétones aromatiques ne contenant pas d’autres fonctions oxygénées [à l’exclusion de la phénylacétone (phénylpropane-2-one)];
2914 40;Cétones-alcools et cétones-aldéhydes;
2914 40 10;4-hydroxy-4-méthylpentane-2-one «diacétone alcool»;
2914 40 90;Cétones-alcools et cétones-aldéhydes (à l’exclusion du 4-hydroxy-4-méthylpentane-2-one «diacétone alcool»);
2914 50 00;Cétones-phénols et cétones contenant d’autres fonctions oxygénées;
2914 61 00;Anthraquinone;
2914 62 00;Coenzyme Q10 «ubidécarénone (DCI)»;
2914 69;Quinones [à l’exclusion de l’anthraquinone et du coenzyme Q10 «ubidécarénone (DCI)»];
2914 69 10;1,4-naphtoquinone;
2914 69 80;Quinones [à l’exclusion de l’anthraquinone, du coenzyme Q10 «ubidécarénone (DCI)» et du 1,4-naphtoquinone];
2914 71 00;Chlordécone «ISO»;
